ID,Nama,Kategori,Latitude,Longitude,Sumber,Deskripsi,Nama File Gambar
1,Universitas Muhammadiyah Riau,Universitas,0.4989572513940113,101.41559941107236,Manual Input,Universitas Muhammadiyah Riau adalah sebuah institusi pendidikan tinggi yang berdedikasi untuk menyediakan berbagai program studi berkualitas yang dirancang untuk membantu generasi muda mencapai potensi mereka di wilayah Pekanbaru,images/UMRI.jpeg
2,Taman Kota,Taman,0.5144694530606693,101.45158651407372,Manual Input,Taman Kota merupakan salah satu ruang terbuka hijau yang menawarkan suasana nyaman dan indah sehingga warga dapat bersantai berolahraga dan menikmati udara segar di tengah kota,images/whatsapp-image-2023-03-13-at-09-27-58-6410960308a8b53d177aed43.jpeg
3,Rumah Sakit Awal Bros Panam,Rumah Sakit,0.4638031415844616,101.39038380930756,Manual Input,Rumah Sakit Awal Bros Panam adalah salah satu fasilitas kesehatan terbaik di Pekanbaru yang memberikan pelayanan medis lengkap dan tenaga medis profesional dengan peralatan medis yang modern,images/95834-rs-awal-bros-panam.jpg
4,SMKN 2 Pekanbaru,Sekolah,0.5104746095396515,101.45586928210746,Manual Input,SMKN 2 Pekanbaru adalah sekolah kejuruan yang berkomitmen untuk menyediakan pendidikan berkualitas dengan berbagai jurusan yang dirancang untuk membantu siswa siap memasuki dunia kerja dan berkontribusi di masyarakat,images/smkn 2 pekanbaru.jpg
5,Pasar Pagi Arengka,Pasar,0.4654204679598862,101.41870221094302,Manual Input,Pasar Pagi Arengka adalah pasar tradisional yang terkenal di Pekanbaru dan menawarkan berbagai macam barang kebutuhan mulai dari bahan makanan segar pakaian hingga barang kebutuhan rumah tangga lainnya,images/pasar arengka.jpg
6,Gereja HKBP Harapan Jaya,Tempat Ibadah,0.5168224819520812,101.49491096731984,Manual Input,Gereja HKBP Harapan Jaya adalah tempat ibadah bagi umat Kristen yang terletak di Pekanbaru dengan suasana yang tenang dan damai serta dilengkapi fasilitas ibadah yang nyaman untuk mendukung kegiatan keagamaan,images/gereja harapan jaya.jpg
7,Masjid Aliyah Syifa,Tempat Ibadah,0.5891500516294345,101.41643909750935,Manual Input,Masjid Aliyah Syifa adalah salah satu masjid yang menjadi pusat kegiatan ibadah umat Muslim di kawasan Rumbai Pekanbaru dan memiliki fasilitas ibadah yang memadai untuk mendukung aktivitas keagamaan,images/masjid rumbai.jpg
8,SMPN 6 Pekanbaru,Sekolah,0.5724174654347439,101.43712899717778,Manual Input,SMPN 6 Pekanbaru adalah Sekolah Menengah Pertama yang memberikan pendidikan berkualitas dan lingkungan belajar yang mendukung perkembangan siswa di berbagai aspek akademik maupun nonakademik,images/smp 6 pekanbaru.jpg
9,SDN 115 Pekanbaru,Sekolah,0.4371958267313499,101.44567251129055,Manual Input,SD Negeri 115 Pekanbaru adalah sekolah dasar yang fokus pada pembentukan karakter siswa serta pencapaian akademik yang didukung dengan lingkungan belajar yang kondusif,images/SD Negeri 115 Pekanbaru.jpg
10,Taman Agrowisata Tenayan Raya,Taman,0.46159599306822,101.50306473828508,Manual Input,Taman Agrowisata Tenayan Raya adalah taman yang menawarkan keindahan alam dan edukasi seputar pertanian sehingga cocok untuk rekreasi keluarga maupun kegiatan edukasi untuk anak anak,images/Taman Agrowisata Tenayan Raya.jpg
12,Halte Awal Bros Sudirman,Halte,0.4962352395179603,101.45551363287044,Manual Input,Halte Awal Bros Sudirman adalah halte modern yang terletak di lokasi strategis Pekanbaru yang melayani berbagai rute transportasi umum untuk kemudahan perjalanan warga,images/halte awal bros sudirman.jpg
13,Bandara Sultan Syarif Kasim II,Bandara,0.461234,101.445678,Manual Input,Bandara Sultan Syarif Kasim II adalah bandara internasional di Pekanbaru yang menjadi pintu gerbang udara utama bagi masyarakat Riau dan sekitarnya dengan fasilitas modern dan pelayanan yang baik,images/bandara sultan syarif.jpg
15,GOR Olahraga Rumbai,GOR Olahraga,0.5712091528454987,101.4324407846566,Manual Input,GOR Olahraga Rumbai adalah fasilitas olahraga yang menyediakan sarana lengkap untuk berbagai jenis olahraga dan sering digunakan untuk berbagai acara olahraga berskala lokal maupun nasional,images/gor rumbai.jpg
16,Mal SKA,Pusat Perbelanjaan,0.501187702441461,101.4192502593516,Manual Input,Mal SKA adalah salah satu pusat perbelanjaan terbesar di Pekanbaru yang menyediakan berbagai macam toko restoran serta fasilitas hiburan untuk masyarakat,images/mall-ska-pekanbaru.jpg
17,Alam Mayang,Taman,0.4961212643344617,101.50125405747752,Manual Input,Taman Alam Mayang adalah tempat wisata alam yang indah dan menjadi pilihan populer bagi keluarga yang ingin bersantai sambil menikmati keindahan alam di tengah kota,images/alamayang rehan 2.jpg
18,Mall Ciputra Seraya,Pusat Perbelanjaan,0.5370991243865286,101.43079007860304,Manual Input,Mall Ciputra Seraya adalah pusat perbelanjaan modern di Pekanbaru yang menawarkan pengalaman belanja dan hiburan dengan berbagai fasilitas lengkap,images/Mall_Ciputra_Seraya.jpg
19,Pasar Tarai,Pasar,0.4271526631869952,101.37404068292658,Manual Input,Pasar Tarai adalah pasar tradisional di Pekanbaru yang menjadi pusat perdagangan bagi masyarakat lokal dengan berbagai pilihan produk yang terjangkau,images/pasar tarai.jpg
20,Universitas Islam Negeri Sultan Syarif Kasim Riau,Universitas,0.4686322366498648,101.35737298981432,Manual Input,Universitas Islam Negeri Sultan Syarif Kasim Riau adalah lembaga pendidikan tinggi yang berkomitmen untuk mengintegrasikan ilmu agama dengan ilmu pengetahuan dan teknologi untuk kemajuan bangsa,images/UIN-Suska.jpg
